RPM, TIME
4993.1, 0.15218043327331543
4999.2, 0.31215929985046387
4998.1, 0.4722270965576172
4902.3, 0.6401839256286621
4618.3, 1.1161913871765137
4534.2, 1.2761831283569336
4446.8, 1.4361867904663086
4099.2, 2.072206497192383
4039.0, 2.2322182655334473
3972.1, 2.3917953968048096
3801.4, 2.55216121673584
3619.0, 3.2001051902770996
3572.7, 3.3601512908935547
3527.0, 3.5201144218444824
3307.2, 4.155527591705322
3264.4, 4.3234474658966064
3222.5, 4.475445508956909
3180.8, 4.640444755554199
3139.5, 4.799444675445557
3098.2, 4.959443807601929
3057.1, 5.119444370269775
2878.0, 5.759854078292847
2842.8, 5.919854164123535
2807.5, 6.07998514175415
2667.7, 6.716085195541382
2632.7, 7.328079700469971
2457.8, 7.676221132278442
2424.4, 7.835419654846191
2393.1, 7.996335744857788
2361.6, 8.155420064926147
2233.0, 8.800448179244995
2199.9, 8.959569931030273
2166.7, 9.119708061218262
2032.3, 9.763469457626343
1992.3, 9.923534870147705
1998.5, 10.083465576171875
1964.4, 10.235533714294434
1929.9, 10.403533935546875
1895.1, 10.563484191894531
1860.0, 10.71545958518982
1738.4, 11.35947585105896
1708.4, 11.519484043121338
1678.1, 11.679550409317017
1584.5, 12.315903663635254
1552.8, 12.476014614105225
1502.8, 12.635933876037598
1520.5, 12.795933961868286
1487.7, 12.955936193466187
1454.9, 13.1160147190094
1421.4, 13.288177251815796
1303.9, 13.915777921676636
1319.6, 14.076282978057861
1285.2, 14.235507011413574
1183.0, 14.875508069992065
1193.0, 15.035506248474121
1154.3, 15.195512056350708
1125.1, 15.355592727661133
1095.8, 15.515763282775879
1095.8, 15.67583703994751
1066.1, 15.835761785507202
1036.0, 15.99575161933899
1006.0, 16.155749559402466
1005.6, 16.315752267837524
911.82, 16.964133739471436
911.82, 17.12413001060486
879.43, 17.284139156341553
814.26, 17.919492721557617
780.26, 18.079535007476807
780.96, 18.239585161209106
748.96, 18.399585247039795
746.88, 18.559840440750122
746.88, 18.71984028816223
712.15, 18.879847764968872
641.1, 19.520264863967896
641.1, 19.688262462615967
641.1, 19.8402578830719
452.75, 21.603317737579346
452.05, 21.916327238082886
420.59, 22.075320959091187
420.59, 22.23531937599182
420.59, 22.39534020423889
387.85, 22.55931830406189
245.0, 25.12421989440918
245.29, 25.284220933914185
245.29, 25.44422221183777
245.29, 25.604220151901245
204.43, 25.756218194961548
204.43, 25.916219234466553
204.43, 26.076219081878662
204.43, 26.23634672164917
204.43, 26.396347999572754
204.43, 26.555388689041138
204.43, 26.71568775177002
