RPM, TIME
5020.0, 0.16031622886657715
5018.8, 0.3208305835723877
5015.4, 0.47995567321777344
4884.5, 0.6398959159851074
4747.5, 0.799896240234375
4624.1, 0.9598956108093262
4514.2, 1.1198961734771729
4423.4, 1.2798962593078613
4324.6, 1.439894437789917
4241.6, 1.6000418663024902
4003.7, 1.7601587772369385
3989.5, 1.9198322296142578
3899.9, 2.0798330307006836
3812.9, 2.2398321628570557
3741.3, 2.399906873703003
3671.4, 2.5600638389587402
3601.7, 2.7203421592712402
3545.4, 2.880312442779541
3431.1, 3.0403125286102295
3385.6, 3.2003188133239746
3334.4, 3.3605034351348877
3283.7, 3.5205342769622803
3233.8, 3.680534601211548
3184.0, 3.840534210205078
3134.3, 4.000534534454346
3085.0, 4.160538196563721
3039.1, 4.3205344676971436
2996.7, 4.480534553527832
2904.5, 4.640469312667847
2871.1, 4.800534248352051
2829.5, 4.9604692459106445
2788.0, 5.120468854904175
2746.5, 5.280469655990601
2705.1, 5.440497636795044
2663.7, 5.600473880767822
2622.4, 5.760545253753662
2581.2, 5.920505046844482
2539.8, 6.080686807632446
2498.4, 6.240668296813965
2457.0, 6.404141902923584
2418.6, 6.552600383758545
2383.2, 6.712671995162964
2348.5, 6.872847080230713
2314.4, 7.044016122817993
2280.1, 7.192128896713257
2245.0, 7.352182626724243
2210.2, 7.524156332015991
2175.1, 7.680213928222656
2139.8, 7.832413196563721
2104.1, 8.00482439994812
2068.2, 8.167950868606567
2008.2, 8.31611156463623
2031.9, 8.476148843765259
1995.1, 8.63614797592163
1958.3, 8.79614782333374
1921.5, 8.956157445907593
1884.6, 9.116089582443237
1847.5, 9.276084661483765
1813.6, 11.026086807250977
1524.1, 11.20008897781372
1421.0, 11.84008526802063
1350.9, 12.160086154937744
1350.9, 12.320086002349854
1315.3, 12.480087757110596
1279.1, 12.64408540725708
1249.1, 12.808083534240723
1147.8, 13.448085069656372
1147.8, 13.604087114334106
1116.4, 13.760082006454468
1019.4, 14.404089450836182
9809.4, 14.56410837173462
985.48, 14.724162578582764
950.91, 14.884109258651733
950.91, 15.044167041778564
915.95, 15.204123258590698
880.64, 15.36416244506836
807.29, 16.00482487678528
807.29, 16.163909912109375
769.51, 16.324286937713623
691.77, 16.956620693206787
691.77, 17.11678171157837
650.76, 17.28819465637207
650.76, 17.43644380569458
650.76, 17.59644842147827
608.42, 17.75654697418213
608.42, 17.92861270904541
535.67, 18.559934616088867
500.73, 18.719948530197144
500.73, 18.88009285926819
426.05, 19.516185522079468
426.05, 19.676187753677368
426.05, 19.83619260787964
387.03, 19.996185302734375
387.03, 20.156184911727905
387.03, 20.316184282302856
346.22, 20.476189136505127
303.3, 21.116185188293457
303.3, 21.276192903518677
303.3, 21.436184406280518
257.56, 22.080186367034912
257.56, 22.240193605422974
257.56, 22.400208234786987
207.17, 22.564184427261353
207.17, 22.724186420440674
207.17, 22.884275436401367
207.17, 23.044902324676514
