RPM, TIME
4936.7, 0.16000032424926758
4942.9, 0.32000017166137695
4937.8, 0.48000025749206543
4909.9, 0.640000581741333
4838.1, 0.7999911308288574
4603.5, 0.9600005149841309
4514.6, 1.1200015544891357
4426.1, 1.2799906730651855
4333.1, 1.4400012493133545
4253.7, 1.6000008583068848
4171.4, 1.7600007057189941
4007.5, 1.919954538345337
3933.7, 2.0800023078918457
3860.5, 2.240000009536743
3793.9, 2.400001287460327
3730.1, 2.5599546432495117
3669.2, 2.719991445541382
3607.7, 2.880000352859497
3557.5, 3.0399248600006104
3489.0, 3.199954032897949
3415.3, 3.368151903152466
2768.4, 5.756338357925415
2695.4, 6.084378957748413
2550.9, 6.7199342250823975
2515.2, 6.880354166030884
2479.4, 7.040552139282227
2444.0, 7.200552225112915
2411.2, 7.359687566757202
2381.1, 7.520001649856567
2351.4, 7.680356979370117
2321.9, 7.8396947383880615
2292.7, 8.000460147857666
2263.7, 8.160525560379028
2235.6, 8.319623470306396
2207.6, 8.479621171951294
2179.6, 8.639625310897827
2095.9, 9.119617462158203
2068.0, 9.27961778640747
2040.4, 9.447618961334229
1956.9, 10.080517292022705
1928.7, 10.2399423122406
1900.3, 10.400270462036133
1871.6, 10.568462371826172
1801.6, 10.720489263534546
1842.1, 10.880489826202393
1814.6, 11.039691686630249
1712.3, 11.684285879135132
1686.2, 11.844650268554688
1659.9, 12.003709077835083
1580.3, 12.640201568603516
1553.6, 12.800207138061523
1526.4, 12.960206508636475
1499.0, 13.12049412727356
1479.0, 13.280434846878052
1471.2, 13.439671516418457
1443.2, 13.600048065185547
1356.8, 14.244512557983398
1327.4, 14.403792142868042
1327.4, 14.564218997955322
1234.6, 15.204331159591675
1205.8, 15.364469528198242
1179.7, 15.52446961402893
1199.7, 15.684561491012573
1153.4, 15.844513177871704
1126.5, 16.004549980163574
1099.2, 16.164550065994263
1099.2, 16.324512004852295
1071.8, 16.484562397003174
1043.6, 16.644595861434937
985.92, 17.27582550048828
956.01, 17.435826539993286
925.72, 17.595826387405396
863.86, 18.236543893814087
832.14, 18.40855884552002
832.14, 18.560364484786987
799.81, 18.720396280288696
732.41, 19.36832547187805
732.41, 19.520369291305542
697.62, 19.687758684158325
661.61, 20.32030963897705
625.05, 20.480366230010986
625.05, 20.640496492385864
592.13, 20.804550170898438
592.13, 20.964550495147705
562.83, 21.123708724975586
562.83, 21.283774375915527
532.78, 21.44414496421814
532.78, 21.60414433479309
501.96, 21.764328241348267
469.89, 22.404656648635864
437.04, 22.563808917999268
437.04, 22.723860502243042
403.2, 23.36427640914917
367.75, 23.524550676345825
367.75, 23.684545040130615
367.75, 23.844388246536255
330.66, 24.00432300567627
330.66, 24.164562702178955
330.66, 24.323776960372925
291.68, 24.960105180740356
291.68, 25.1201229095459
249.84, 25.280521154403687
249.84, 25.92013955116272
249.84, 26.088303565979004
204.79, 26.247686624526978
204.79, 26.40813636779785
204.79, 26.56823468208313
204.79, 26.727792501449585
204.79, 26.888040781021118
