RPM, TIME
4999.0, 0.31600189208984375
4994.5, 0.47600293159484863
4951.5, 0.6360270977020264
4705.4, 0.7960026264190674
4364.9, 1.42799973487854
4281.2, 1.5879991054534912
4141.1, 1.7480034828186035
3855.6, 2.392001152038574
3802.9, 2.552002429962158
3749.3, 2.7120018005371094
3689.8, 2.8719980716705322
3634.8, 3.0320003032684326
3509.4, 3.192000150680542
3496.6, 3.3520026206970215
3331.2, 3.987999200820923
3287.4, 4.148029088973999
3248.9, 4.3079993724823
3092.8, 4.948002099990845
3056.4, 5.108000993728638
2903.2, 5.267999172210693
2962.7, 5.440000057220459
2933.1, 5.588001728057861
2903.7, 5.760003328323364
2874.5, 5.908003330230713
2845.4, 6.068000793457031
2816.2, 6.228000640869141
2787.0, 6.388001203536987
2672.4, 7.035998821258545
2645.0, 7.196000814437866
2617.2, 7.35602879524231
2503.9, 7.995998859405518
2474.2, 8.155998945236206
2444.4, 8.316001415252686
2416.9, 8.475998878479004
2391.7, 8.636002540588379
2366.2, 8.796000003814697
2340.7, 8.956001996994019
2239.2, 9.592001914978027
2213.8, 9.75200343132019
2188.1, 9.912000894546509
2084.2, 10.556003332138062
2057.4, 10.716001272201538
2030.4, 10.875998973846436
2003.3, 11.036001920700073
1973.3, 11.196001291275024
1975.9, 11.356001138687134
1948.3, 11.51599907875061
1920.6, 11.676000118255615
1892.4, 11.836000919342041
1864.3, 11.996000528335571
1786.2, 12.639999151229858
1762.3, 12.799999713897705
1738.3, 12.960001945495605
1640.5, 13.595999002456665
1615.4, 13.75999903678894
1505.4, 13.920016050338745
1590.2, 14.07999873161316
1564.5, 14.239998579025269
1538.4, 14.40000057220459
1512.0, 14.560002326965332
1431.0, 15.196002006530762
1402.9, 15.356000661849976
1402.9, 15.516000032424927
1316.4, 16.155999898910522
1287.0, 16.31600260734558
1257.5, 16.476000785827637
1257.5, 16.63600182533264
1228.1, 16.79600167274475
1201.6, 16.956002235412598
1171.6, 17.115999698638916
1177.7, 17.276034832000732
1153.3, 17.43599820137024
1128.6, 17.59600257873535
1052.1, 18.232000827789307
1052.1, 18.39200210571289
1026.3, 18.552000761032104
946.1, 19.196003913879395
946.1, 19.35602879524231
918.45, 19.516003847122192
809.0, 20.800144910812378
775.4, 20.96000099182129
745.43, 21.276000261306763
745.43, 21.436002016067505
714.41, 21.596002101898193
714.41, 21.756003379821777
561.29, 23.520031213760376
507.1, 24.156001329421997
479.22, 24.323999643325806
479.22, 24.476001024246216
479.22, 24.636001586914062
450.59, 24.79599952697754
450.59, 24.955998420715332
427.59, 25.11600089073181
421.01, 25.27600383758545
421.01, 25.436002731323242
390.19, 25.604005336761475
390.19, 25.756001472473145
390.19, 25.91600227355957
358.33, 26.084003448486328
358.33, 26.244001388549805
358.33, 26.396002769470215
358.33, 26.555999517440796
325.06, 26.715999126434326
325.06, 26.875998973846436
325.06, 27.036002159118652
325.06, 27.19600224494934
290.24, 27.35599946975708
290.24, 27.516034364700317
290.24, 27.676000833511353
290.24, 27.83602738380432
253.54, 27.996000051498413
253.54, 28.156002044677734
253.54, 28.315999746322632
253.54, 28.476001024246216
253.54, 28.63600492477417
213.97, 28.79600214958191
213.97, 28.95599865913391
213.97, 29.1159987449646
213.97, 29.27600073814392
213.97, 29.444002151489258
213.97, 29.596001863479614
171.34, 29.764002084732056
171.34, 29.924001693725586
171.34, 30.084002017974854
171.34, 30.236000537872314
171.34, 30.404001474380493
171.34, 30.564003944396973
171.34, 30.72402858734131
171.34, 30.884002923965454
171.34, 31.044029235839844
