RPM, TIME
3081.5, 0.16006207466125488
3082.2, 0.3200256824493408
3091.0, 0.4800262451171875
3108.9, 0.6400251388549805
3104.0, 0.8000202178955078
3056.3, 0.9600207805633545
2908.6, 1.1200206279754639
2896.3, 1.2800261974334717
2845.9, 1.4400267601013184
2793.9, 1.5999927520751953
2741.3, 1.7599868774414062
2688.3, 1.9200265407562256
2635.1, 2.0799968242645264
2581.9, 2.240023374557495
2529.4, 2.400019884109497
2476.8, 2.55996036529541
2428.0, 2.7200193405151367
2383.1, 2.8800199031829834
2338.3, 3.040019989013672
2293.4, 3.1999926567077637
2248.6, 3.3600258827209473
2203.3, 3.5200188159942627
2158.1, 3.6800029277801514
2112.2, 3.840019702911377
2066.1, 4.000019073486328
2006.1, 4.160019636154175
2019.5, 4.320059061050415
1972.2, 4.4800190925598145
1924.5, 4.639998912811279
1876.2, 4.800020694732666
1827.5, 4.960020303726196
1782.8, 5.119956731796265
1741.7, 5.280026912689209
1700.5, 5.452020645141602
1690.5, 5.600019216537476
1659.3, 5.759992361068726
1617.7, 5.920003414154053
1575.6, 6.079998016357422
1533.6, 6.240005254745483
1490.9, 6.41202449798584
1490.9, 6.560019493103027
1448.3, 6.720019102096558
1405.0, 6.879992485046387
1361.9, 7.052018880844116
1361.9, 7.2039594650268555
1317.8, 7.368332386016846
1273.4, 7.528336524963379
1273.4, 7.688334941864014
1227.8, 7.848339557647705
1186.1, 8.008332967758179
1147.7, 8.168335676193237
1147.7, 8.328333377838135
1109.3, 8.488675832748413
1070.0, 8.647935152053833
1030.0, 8.807925939559937
1030.2, 8.967925786972046
989.08, 9.128423690795898
989.08, 9.288631916046143
946.29, 9.447631359100342
902.4, 9.608632326126099
902.4, 9.767635583877563
858.96, 9.928654432296753
858.96, 10.088632345199585
814.1, 10.248631715774536
814.1, 10.408630847930908
768.38, 10.567630529403687
768.38, 10.728631496429443
720.5, 10.888631582260132
720.5, 11.048633098602295
671.23, 11.208630561828613
671.23, 11.368630647659302
618.87, 11.528631925582886
618.87, 11.688630819320679
571.45, 11.848631858825684
571.45, 12.008630990982056
520.45, 12.168631315231323
529.8, 12.328243970870972
529.8, 12.488223791122437
487.52, 12.648168563842773
487.52, 12.808140277862549
442.77, 12.968201637268066
442.77, 13.128201961517334
442.77, 13.28813886642456
395.64, 13.448201894760132
395.64, 13.6082022190094
395.64, 13.768195390701294
345.53, 13.928202867507935
345.53, 14.088201522827148
345.53, 14.248201847076416
345.53, 14.40820574760437
